sku,weight (kg),depth (cm),width (cm),height (cm)
STJR512400,0.07,5.08,7.62,13.97
STJR2000400,0.07,5.08,76.2,13.97
90YM00H0-B0EA00,0.17,8,10.5,2.1
02060-001,2.2,,20.6,22.1
WFC500D.CE7,,5.5,9.9,97.4
WFC500G.CE7,,5.5,9.9,9.7
WFC500B.CE7,,5.5,9.9,9.7
LVN126070,0.2,,,
QW2520-BKK11,0.14,6.8,14.8,12.6
ET85C-3P5A2-000,,22.5,30.8,1.6
ET85B-3P5A2-000,,22.5,30.8,1.6
LVN126076,0.2,3,5.2,7.9
XRN-6410B2,7.5,43.49,43.8,8.6
90XB06MN-MPW000,0.57,7.6,16.5,2.54
I6S-00010,0.4,6.88,19.56,16.79
EIG-00019,0.89,0.93,28.7,20.8
8XB-00023,0.28,22.61,28.91,0.49
8X8-00003,0.29,22.61,28.91,0.49
40B00300IT,1.9,19.5,27,8.5
8PY-00032,0.89,0.93,28.7,20.8
EIG-00003,0.89,0.93,28.7,20.8
8XB-00003,0.28,22.61,28.91,0.49
EFI-00002,0.89,0.93,28.7,20.8
169L0E9#ABU,10.4,41.1,59.6,22.5
62B9MAT4UK,5.4,13.1,61,40.5
920-010498,0.7,31.5,14,3.8
VC83-10FSRNBAABA-I,3.7,9,27.6,23.8
SM-F711BZKBEUA,0.18,0.69,7.22,16.6
955-000013,0.14,13,11.8,5.4
PRIVACY-SCREEN-238M,0.43,37.5,61.1,0.5
73194,0.13,4,9.5,9.5
43326,0.1,14.8,17.4,19.4
316,,,22.9,
32681,0.2,10.8,11.5,3.9
39526,3.3,25,57,11
THYIA02B,1.56,6.5,30.6,48.2
THZ893GLZ,0.5,3.3,31.3,23.3
THORNE01B,1.7,8,22,54.8
MLPF3QN/A,0.17,0.77,7.15,14.67
LVN126188UK-4,0.4,10,20,10
LVN126188UK-2,0.2,,,
LVN126188UK,0.1,0.6,8.6,8.6
LVN126078UK,0.4,3.6,8.6,8.6
LVN126076UK,0.2,10,20,10
MLQC3B/A,0.17,0.77,7.15,14.67
3E2U7ET,0.37,2.2,25,36
5050C005,0.84,12.2,12.2,23.1
MK893B/A,0.3,0.63,13.48,19.54
PX-WIC005,0.29,32,22,1.1
PX-WIC006,0.83,79.7,30.15,1.1
7200-87290-101,3.2,11.73,84.02,13.54
ET80A-0P5B2-CF0,,22.5,30.8,1.6
ET80A-0P8B3-CF0,,22.5,30.8,1.6
ET80A-0P5B2-000,,22.5,30.8,1.6
ET80A-0P5A2-0F0,,22.5,30.8,1.6
PRIVACY-SCREEN-24MB,0.43,61.1,37.4,0.5
ET80A-0P5B2-00A,,22.5,30.8,1.6
PRIVACY-SCREEN-22MB,0.41,61.1,37.4,0.5
PRIVACY-SCREEN-20M,0.32,61.1,37.4,0.5
PRIVACY-SCREEN-23M,0.43,61.1,37.4,0.5
PRIVACY-SCREEN-185M,0.3,61,37,0.3
AMM165AMGL,0.01,9,9,12.7
ABL24W9GL,0.51,0.2,57.7,37
ABL238W9GL,0.51,0.2,57,37
RSL10-LSV2W1W4S0X2N0,1.3,2.2,19.52,28.08
S10-43G0040-EC4,0.41,10.5,15.6,6.25
STNDTBLTMOB,4.7,79,32.5,11.5
RSL10-LSV2X2W4S0X0X0,1.3,2.2,19.52,28.08
66D8GAR1EU,7.1,13.1,71.5,44.5
R-PM750D-FA0B-UK,,14,15,8.6
AP-WUMIC-B1,,6.51,6,17.02
FZ-VBRG211U,0.04,1.77,6.35,8.63
S11-04UK305-CLA,1.3,,,
FZ-VSRG211U,0.04,,,
FZ-VUBG211U,0.04,,,
FZ-VLNG211U,0.04,,,
428K7AA,0.16,14.4,17,5.4
GLO-MS-DW-MB,0.07,,,
GLO-MS-DW-MW,0.07,,,
2S9L1AA#ABB,0.13,7.8,12.9,4.7
956-000053,0.39,6.6,6.6,31
956-000051,0.11,23.9,0.55,22.1
956-000049,0.11,23.9,0.55,22.1
QW2520-BK,0.14,6.8,14.8,12.6
4XD1C99220,0.11,4.5,9.1,10.2
TAPO L920-5,0.46,23.15,20.45,6.85
QW2520-BKK11S,0.14,6.8,14.8,12.6
956-000050,0.11,23.9,0.55,22.1
24155128,,49,4.5,4.5
62D0GAT1EU,9,18.6,73,46
N8N14AA#ABB,0.38,11.6,23.5,6.5
391R4AA#ABB,0.15,13.9,19.8,5.3
40AY0090IT,0.96,15.8,21,7.5
920-010250,1.09,45.05,14.75,3.95
920-010351,1.73,49.4,5.8,25.1
960-001005,1.03,17.3,17.7,12.4
3V2X4AA,0.07,9.2,19,2.7
ET80A-0P5A2-CF0,,22.5,30.8,1.6
E245047,0.12,6.9,17.5,11.4
920-010249,1.09,45.05,14.75,3.95
920-010352,1.73,49.4,5.8,25.1
920-010350,1.73,49.4,5.8,25.1
920-010349,1.73,49.4,5.8,25.1
920-010251,1.09,45.05,14.75,3.95
920-010348,1.73,49.4,5.8,25.1
88885559,0.28,24,4.5,1.5
750-ADIV,0.01,1.13,6.5,14
K80100WW,0.08,16,7.2,18.8
XRN-3210B2,7.5,43.49,43.8,8.6
952-000057,0.1,5.2,2.8,13.4
910-006520,0.12,9.05,3.65,24.8
SRTG20KXLI,142.5,79,59,53.5
981-001062,0.38,17.9,8.2,17.8
981-001074,0.38,17.9,8.2,17.8
HG50Q60AAEUXXU,16.4,13.7,124.6,77.1
HG55Q60AAEUXXU,22.5,14.8,139.9,84.6
EDA52-11AE64N21RK,0.26,1.44,7.5,15.9
66E5GAC3UK,8.4,79.6,43.3,15.5
FZ-VZSU1VU,0.36,2.29,8.38,15.24
920-010245,1.09,45.05,14.75,3.95
910-006216,0.24,11.5,5.5,15.9
920-010346,1.73,49.4,5.8,25.1
910-006205,0.24,11.6,5.5,15.9
GMHDX6,0.17,32.3,9.12,3.01
GMHRXJ,0.16,20.5,11.6,2
4Y51C33792,0.32,8.7,11.3,14.5
1C4Z5AT#ABB,7.6,41.5,62.5,14.2
STP-EXM12-24,5,,,
STP-EM20,4.8,,,
STP-EM02,2,,,
STP-EM01,2,,,
STP-CP22,,6,8.5,8.5
STP-EM10,4.8,,,
SAA5015,0.12,3.3,6.5,16
VFM-W6X4V/2,2.09,4.7,68.2,9
MC330X-GE4BG4RW,0.52,16.39,7.47,20.26
TC520L-1YFMU7P-A6,0.26,15.9,7.55,1.86
MC330X-GJ4EG4RW,0.52,16.39,7.47,20.26
MC330X-GE2BG4RW,0.52,16.39,7.47,20.26
MC330X-GE4EG4RW,0.52,16.39,7.47,20.26
TC520L-1YLMU7P-A6,0.26,15.9,7.55,1.86
MC330X-SJ4EG4RW,0.45,3.45,7.47,20.22
MC330X-SJ3EG4RW,0.45,3.45,7.47,20.22
MC330X-GJ3EG4RW,0.52,16.39,7.47,20.26
MC330X-GE3EG4RW,0.52,16.39,7.47,20.26
MC330X-SG3EG4RW,0.45,3.45,7.47,20.22
MC330X-SE2EG4RW,0.45,3.45,7.47,20.22
MC330X-SA4EG4RW,0.45,3.45,7.47,20.22
MC330X-GE2EG4RW,0.52,16.39,7.47,20.26
MC330X-SA2EG4RW,0.45,3.45,7.47,20.22
DA-90411,2.6,17.5,14.6,58.3
DA-90412,1.14,27.7,50.2,13.5
453D2AA#ABB,3.41,18.1,50.43,36.71
1VD81AA#ABU,0.27,,,
DA-90377,2.2,,28.2,43.5
D9Y32ET#ABB,0.76,36.8,4.4,10.7
VFM-WA4X4/3,3.5,,43,43
VFM-DAD/4,4.8,,,
VFM-WA2X2/3,2,29.5,23.8,6.5
VFM-DPD2B,4.8,14.8,91.3,54.8
VFM-DA/4,2.8,,,
FZ-VRFG211U,0.05,1.5,10.9,7.49
S12-0400D00-C54,0.24,13,8.3,4.1
TM-WEBCAM,3,14,17,73.5
TC3 PWRUK,0.25,16,16,6.5
BTH58,,4.74,5.06,20.4
GBM3X7,0.16,7.34,14.1,1.17
1159-0139-EDU,0.09,18,21,2
1C4Z6E9#ABU,8.1,41.5,62.5,14.2
4L1/8042,0.12,7,7,13
VP2768A-4K,9.9,22,74,41.7
VA1655,,7.2,43,38.4
XRN-1620SB1,5.76,42.84,44,8.98
GB2590HSU-B1,6.7,21.4,71.1,42
311,,,22.9,
SBO-147B,0.98,,,7.33
EP-T6530NBEGEU,0.16,10.83,5.2,3
EP-T1510XBEGEU,0.04,5.5,3.7,2.25
EP-T1510XWEGEU,0.04,5.5,3.7,2.25
ET80A-0P5A1-000,,22.5,30.8,1.6
920-010496,0.7,31.5,14,3.8
AK-770905-100-S,0.1,1.5,14.5,
SM-A528BLGDEUA,0.19,7.51,15.99,0.84
T0Y15AA#AC3,0.16,,,
S3422DW,14.9,95,46.81,22.5
62C1GAT6UK,20,27.5,108.5,52.6
ADJPROJCART,10.6,35.5,40,11
11MQ002LUK,1.25,18.29,17.9,3.65
2F2L6AA,0.21,31,37,1
240J7AA#ABB,0.84,16.6,50.5,4
GMPFXQ,,21.77,13.65,0.02
240J7AA#ABD,0.84,16.6,50.5,4
FP21Z4JI14XX,1.5,20.7,31.4,2.5
RFD4030-G00B700-WR,0.54,8.4,16.65,15.1
VG28UQL1A,10.4,22.4,71.6,44.6
LVR261875UK,1.5,10,55,6
DA-90408,0.73,28,25.5,26.5
920-010303,0.8,20.85,2.8,26.1
2D9K1AA#ABB,4.7,12.1,61,39.9
213938-101,0.1,,,
TAPO L900-5,0.32,14.45,11.95,6.85
H3T50AA,0.12,10.69,6.71,3.86
9VA80AA#AC3,0.08,6.34,10.38,3.55
6LX61AA,,3.4,20.69,1
TAPO C320WS,,10.34,14.23,6.43
VE066-AT,0.16,10.7,3.8,19.6
T1634MC-B8X,5.8,29,45.5,36.5
SM-T733NZKAEUB,0.61,0.63,28.48,18.5
V11HA22140,6.9,11,45.9,6.5
C32C882001,0.27,,,
A61CH62111,1.26,22.8,22.8,16.5
M3410-010200-00604,0.6,15.2,13.7,9.4
DA-90406,34.5,60,120,121
M3513-010210,0.98,15.2,15.2,8.7
M3511-010200-00403,0.98,15.2,15.2,8.7
M3511-010200,0.98,15.2,15.2,8.7
DA-90407,30.9,60,120,123
329M1RV/00,16.7,22.4,80,52.6
32C42AA,0.81,45,7.3,9.75
02162-001,1.4,27.2,13.2,13.2
SBWD1100PEU,0,14.4,22,3.75
FP21Z4JI1DXX,1.52,20.7,31.4,2.5
420-62,0.45,3.2,9.6,18.8
W2Q00AA,0.21,14,18.1,4.7
V0L81AA,0.15,13.9,19.8,5.3
V0L80AA,0.15,13.9,19.8,5.3
V0L82AA,0.15,13.9,19.8,5.3
2F1X3AA,0.21,31,37,1
2F2L0AA,0.24,32.5,40,1
2F1X7AA,0.24,32.5,40,1
2F2K5AA,0.24,32.5,40,1
2F1W8AA,0.24,32.5,40,1
EA129,0.9,9.5,8,16.5
ARMUNONB1,4.6,25.2,47.6,15
WB7022-DEMEA,,9,4.2,
DELL-WH3022,0.1,,,
SM-R177NZWAEUA,0.14,9.54,8.63,4.48
SM-R895FZKAEUA,0.05,4.55,4.55,
SM-R860NZKAEUA,0.03,3.93,4.04,
SM-R177NZGAEUA,,1.7,2.09,2.11
SM-R177NLVAEUA,,1.7,2.09,2.11
920-010222,1.09,24.75,2.85,29.5
920-010367,0.66,26.8,20,3
U2422H,7.82,,,
EF-VSUN5LAEGWW,0.36,,,
38208,0.41,7,20,11.3
981-001104,0.47,23.2,19.4,8.1
82JB000AUK,1.33,20.24,28.96,1.99
LS27A400UJUXEN,8.7,21.5,68.5,43.5
981-001018,0.52,20.9,9.1,23.1
2Z8P4AA,0.3,28.5,40,6
3E2P1AA,0.44,6,45,31.5
34Y64AA,0.37,6.5,44,32
2Z8P3AA,0.38,10.5,31,45.5
DA-90421,5.5,43.5,78,113
90MP02G0-BPUA00,0.13,36,26,
KT-TC26BK-11A242-A6,0.24,1.73,7.9,15.8
2F2J1AA,0.21,31,37,1
240J6AA#ABB,0.12,7.8,12.9,4.7
9827894,0.28,6.9,18.8,18.9
LVO280892,0.17,12.5,3,8
GXH1C97870,0.3,6,40,6
PND-A6081RV,1.6,,12.5,12.5
LVO280902,0.02,18.5,2.5,2.5
LVO280894,0.02,18.5,2.5,2.5
LVO231789,0.17,16,8,9
SC-TMAX5EG-K,6.5,26.5,25,47.5
V11HA44040,10.8,53,54,21
V11HA30040,10.4,53,54,21
960-001339,4.03,10.1,71.9,9.14
2G3D3AA#ABB,5.8,12.6,69,43
960-001351,4.03,10.1,71.9,9.14
VPC27-W53-O1-1B,1,11.9,20.2,3
VPC25-W53-O1-1B,1,3,20.2,11.9
SM-T736BZKAEUB,0.61,0.63,28.4,18.5
960-001340,4.03,10.1,71.9,9.14
40AY0090DK,0.96,15.8,21,7.5
40B00300DK,1.9,19.5,27,8.5
EXP43,5.8,12.4,19.65,13.75
GX20Z46287,0.82,14.6,21.3,7.5
4Y51C21217,0.23,5.5,10.1,15.4
GX20K78592,0.3,10.8,4.6,2.9
90XB06C0-BMU010,0.1,10.57,8.02,4.06
CF-VNP332U,0.01,11.68,1,1
LVR261877,1.5,4.44,48.25,4.44
LVR261876D,1.5,4.44,48.25,4.44
LVN127766,0.03,,,
LVN126097,0.03,10,10,10
LVR261871S,1.5,7.4,53,7
LVN128146,0.01,5,7,10
LVN128088,0.02,,,
LVN127871,0.02,10,10,10
62C6KAT1EU,4.68,35.2,58.7,14
V11HA29140,12.3,56,54,21
V11HA27040,12,56.5,54,21
V11HA29040,12.3,56,54,21
LVT551115,0.17,,1.2,
LVN128147,2.77,,,
LVN128140,0.01,,,
LVN126105,0.03,10,10,10
LVT125467,0.33,15,2,2500
LVR261871D,1.5,7,53,7
LVN128078,0.01,,,
LVN128082,0.02,,,
LVN126188,0.09,,8,8
LVT125466,0,14,1,500
LVR261880D,1.2,6,53,8
LVN127866,0.03,10,10,10
LVN126160,0.02,10,10,10
LVR261876S,1.5,7.3,53,7
LVN128076,0.01,10,10,10
LVN127767,0.04,,,
D-HP8300-MU-T024,7.6,37.9,33.8,10
40ALLG2WWW,0.5,3.2,10.7,22.1
62B8MAT3EU,5.7,14.5,63.8,39.7
V11HA25140,12.3,56.5,54,21
V11HA25040,12.2,56,54,21
420-61,0.3,3,11,21.5
SE2422H,5.23,,,
4X81B32809,0,,4.3,
EJ-M3400DBEGWW,0.08,2.59,6.43,10.67
4011C001,,,12.2,12.6
CS18208-AT-E,4.84,49.9,13.3,32.4
CE924-AT-E,4.04,54,13.1,23.3
CS18216-AT-E,5.25,49.9,13.3,32.4
DA-90422,11,41,71,
62AEKAT2EU,5.42,41.5,62.4,12.4
2E6U9AA,0.26,27.1,40.7,
ALUS19,0.02,,,
CF-AA6413AG,0.19,10.25,4.25,2.77
W70B,3.61,,,
DPCL21-CXAA2,,40,90,
943500062,0.6,,21.8,7.85
IEUEBJBAIRSPRTRBLK82,0.17,9.7,4.2,12.5
IEUEBEAIRSPTNCRBLK82,0.56,17.4,10.4,4.6
IEUEBFITSPORTRBLK123,0.07,10.3,3.25,14.1
MBLTVSTNDEC,26.4,86.5,102,13.5
TAPMSTBASEINT/2,1.25,17.9,24.4,5.8
D-HPED800-MU-T017,7.6,33.7,9.9,37.8
P26489-B21,1.1,56.01,12.5,5.51
TC3 VGAF,,3.8,6.4,2.1
SP2DZACESDXX,2.38,29.3,35,3.85
XQZUC1B.ROW,0.07,3.68,2.9,9.13
CTK55PCEDRIVE,0.8,28.5,11.7,4
4XJ1D33268,0.17,25.4,38.7,0.3
LTSTND2IN1,0.54,23.8,22,8
CDP235APDM,0.01,12.5,9,0.1
CTK20PCEDRIVE,0.25,7,23,43
SM-T220NZAAEUB,0.37,0.8,12.47,21.25
1D0K9AA#ABB,0.39,11.8,16.4,7.38
62C5GAT1UK,8.31,17.2,62.2,42.1
960-001332,2.9,62.36,15.22,14.62
TAA6606BK/00,0.28,6.1,17,22.5
SBP-099HMW,0.13,,,4.7
PNM-7002VD,1.25,,,8.4
2008631,,,33,
2008621,,,33,
2008682,,,33,
2008620,,,33,
2009061,,,33,
2008647,,,33,
2009055,,,30.5,
2008614,,,33,
956-000008,0.02,11.1,8,1.5
2Z8A4AA,0.55,40,29,6.5
217878-01,,15.2,20.52,6.8
L-EB820G4-UK-T001,1.38,21.89,31,1.89
8300-119,0.14,13,16,5
THZ903GL,0.19,1.8,13.5,22
14207-70,0.76,,36,
286J4AA#ABB,0.47,,,
ZE51143-L0E0000Z,14.7,37.9,24.5,30
ZE51142-R0E0000Z,14.7,37.9,24.5,30
8220-209,0.15,,7.7,
8211-209,0.15,,7.7,
GB2570HSU-B1,6.5,,,
DMFE20O-OAZPA7V,0.07,5.9,12.4,3.6
DMFE20O-OAZPA7A,0.07,5.9,12.4,3.6
TAPO P100,,4,5.1,7.2
276B9H/00,10.3,25,69,46.2
943500050,0.67,22.03,8.92,5.26
943500048,0.67,22.03,8.92,5.26
920-010214,1.1,24.75,2.85,29.5
VX3418-2KPC,10.2,19,88.8,52.8
VX3219-PC-MHD,7,17,97,52.3
VX2719-PC-MHD,5.5,44.3,68.7,15.6
920-010210,1.08,24.75,2.85,29.5
326-11,0.11,2,12,14
326-14,0.11,2,12,14
126-28,0.18,4,16,20
DA-10196,0.09,8,13,2.77
265A9ET,0.08,8.05,11.2,3.6
A9B76AV-ABB,0.93,12.1,35.9,5.1
WA995AA,0.79,26.9,23,1.27
DA-70620,0.07,11,40,5.5
AN-25179,0.19,22,7.5,2.5
6VY96AA#ABB,0.14,7.8,12.9,4.7
265D9AA,0.08,11.2,6.3,3.6
920-010027,0.74,51,15.8,4.6
CF-33GEPAZTE,1.54,2.29,30.73,24.38
960-001381,0.12,7.9,4.55,12.2
920-010016,0.69,16.25,2.95,47.35
920-010018,0.69,16.25,2.95,47.35
3C2V5ES#ABU,1.74,52,6.9,30.5
F8W974BTPNK,0.01,,,
F8W973BTBLU,0.01,,,
KP081ET,1.78,,,
265A9AA,0.08,6.3,11.2,3.6
3204005,0.34,15,25,20
11NA000DUK,1.02,8.8,17.9,5.15
11NA0006UK,1.02,8.8,17.9,5.15
MX532ZM/A,0.01,,,0.8
5053C005,2.89,,,
H3T50AA#AC3,0.12,10.69,6.71,3.86
B08C1KN5J2,0.03,3,8.6,1.3
RoomCast-001,0.19,7.25,14.5,2.35
1MW-00027,1.54,22.4,33.95,1.47
WCA004MYWH,,7.3,4.3,2.6
SBP-156CMW,4.2,,,
213726-01,0.18,,,
4514C005,0.73,,,
5V8-00004,1.54,22.4,33.95,1.47
7IC-00004,1.29,22.3,30.5,1.45
5BV-00060,1.29,22.3,30.5,1.45
5BL-00004,1.27,22.3,30.8,1.45
5BV-00038,1.29,22.3,30.5,1.45
5IF-00004,1.54,22.4,33.95,1.47
5Q1-00004,1.29,22.3,30.5,1.45
5B2-00004,1.29,22.3,30.5,1.45
5L1-00027,1.54,22.4,33.95,1.47
5B2-00038,1.27,22.3,30.5,1.45
5IP-00027,1.54,22.4,33.95,1.47
3200980,0.56,21.6,30.5,45.7
VIGI NVR1016H,0.58,4.5,14.82,24.62
8U3-00001,1.08,13.1,25.3,17.1
SBP-329HM,1.18,,,10.15
HCO-6020R,0.28,,,16.52
SBP-156KMW,0.76,15.85,27.68,18.3
SBV-120WCW,0.18,,,
XNO-6120R,2.18,,,
SBP-300BW,0.49,3.5,12,19.09
HCD-6020R,0.23,,,8.6
ROOMSENSOR,0.09,,,3.6
TF1634MC-B8X,6.6,29,45.5,36.5
V11HA22040,9.43,53,47.1,24.7
GMPSXN,,0.9,10.87,0.9
ZA8R0031GB,0.46,15.39,24.48,0.82
AT-SDR240-48,,11.35,6.3,12.52
BULK0192,0.03,0.08,10.8,19.5
7267,0.05,1.2,10.8,19.5
BXNUC10I7FNHN2,,11.2,11.7,5.1
BPB011BTBK,0.22,6.83,13.18,1.58
S26391-F20-L120,,6,37.5,28.5
GLO-TOY-PANDA,,7.62,7.7,8.61
DBC14UF,,16.5,32.5,44.5
BNS15UF,0.25,1.8,40,35.5
BLS15UF,0.31,17,32.5,46
GLO-ACC-KP,0.01,,,18.5
DBC15UF,,17.5,35.5,47
GLO-ACC-P75-RK-B,,,,1.45
YD-01-CON-BL,0.68,8,6.5,15
GLO-ACC-P75-RK-G,,,,1.45
GLO-ACC-LUBE-BRUSH,,,,13.97
BLS14UF,0.27,17,30,42
38394,0.29,14.5,19,6
MS116-BK,0.09,,,
DBC17UF,,18.5,34.5,50.5
3201246,0.45,4.6,36.1,27.9
3201234,0.36,4.1,33,24.8
EPDU1232SX3620,9.56,11,16,195
2008030,,,13.97,
2008891,,,11.4,
2008890,,,11.4,
2007143,,,12.9,
2008887,,,11.4,
2008033,,,13.97,
2007714,,,30.5,
2007723,,,30.5,
2007145,,,13.9,
BNS14UF,0.23,1.8,36,34
PRIVSCNMON34W,0.67,47.1,87.4,0.3
QAU-00022,0.48,17.7,17.8,7.3
60005221,3.5,26.1,34.5,10.46
1C1Y5AA#ABB,0.2,8,18.9,4.4
TD3207,15.5,57.7,86.3,16.3
QD2590-WH,0.14,6.8,14.8,12.6
570-AAIS,0.09,,,
ZV1BDI.EU,0.27,4.35,10.55,6
QD2590-BK,0.14,6.8,14.8,12.6
QD2590-BKK1S,0.14,,,
QD2590-BKK1,0.14,6.8,14.8,12.6
VG24VQR,7.46,40.3,70.9,21.1
90XB01DN-BBA000,0.48,39.5,28,4.5
CK65-L0N-ESN210E,0.5,8.3,22.7,4.2
30E0003SUK,24,46,16.5,44.6
8JU62AA,0.01,14,0.95,0.3
KM5221WBKB-FRC,0.71,13.8,45.5,7.2
48811,0.43,6.5,6.5,32
802600101,0.14,2.3,8.4,8.4
GLO-GMMK-P75-RGB-ISO-B,1.5,13.5,33.2,3.2
GLO-GMMK-P75-RGB-B,1.5,13.5,33.2,3.2
DA-12211,0.35,6,18,6
DA-12202,0.23,5.6,15,
KM5221WBKR-INT,0.71,13.8,45.5,7.2
DA-12221,0.44,,,
MS7421W-SLV-EU,0.22,16,8.55,4.5
NHC-UK,0.17,4.5,4.5,15.5
NIS01-UK,0.46,,,
DTG-UK,0.05,3.04,1.58,7.6
K62318WW,0.22,15,15,1.5
7680GSR-2USB-1-R,0.34,8,4,10.5
73809,0.27,6,15.5,12
TAH2005BK/00,0.25,8,17,22.8
1B9X2AA#ABU,9.4,42.3,69.8,16.3
AEC-AMC2-UL02,8,8.8,41.1,54.1
VG3456,13.4,52.5,94.5,23.4
TBS65205GL,0.13,1.1,35.9,25.3
TBS650GL,0.09,1.8,29.4,20.2
TAT2236WT/00,0.13,4,9.5,17.2
TBS65105GL,0.11,2,32.5,22.7
TF1534MC-B7X,4,16.5,43.5,33.5
DELL-PE1422VL,0.35,,,
420-59,0.55,3.1,11.1,20.2
126-25,0.3,15.5,19.5,0.66
11RTZ9AXUK,1.9,9,80,5.5
SM-G525FZKDEEB,0.17,0.92,7.16,14.71
TAPO L530B(2-PACK),,,,11.5
62B0MAT2EU,8.4,42.2,61.8,16
TAPO L510B(2-PACK),,6,6,11.5
DS-55505,0.98,24.3,19.6,
GP-P1000GM-UK,,15,14,8.6
DN-93802-7-SH,,,4.5,4.5
LS24A400VEUXEN,7.6,40.6,61.4,19.6
90YH02ZG-B3UA00,0.31,,,
2007696,,,30.5,
1D0K2AA#AC3,0.32,5.58,11.8,16.4
1D0K8AA#AC3,0.39,7.38,11.8,16.4
M3513-010210-00604,0.98,15.2,15.2,8.7
952-000044,1.46,27,9.8,9.2
952-000041,3.78,62.3,26.2,12.5
TAPO C110,,5.48,6.76,9.89
6VY95AA,0.13,3.07,5.08,1.85
26D32AA#ABB,1.49,15.6,19.2,16.5
KE6940AR-AX-E,2.13,41.4,20.7,11.7
KE6940AIT-AX-E,2.55,41.4,20.7,11.7
F9GMX,2.96,7.6,49.4,33.3
CS1953-AT-E,1.33,26.5,9.5,22
KN4116VA-AX-E,6.63,41.21,43.36,4.4
KN4132VA-AX-E,,43.36,41.21,4.4
945-13430-2505-000,0.14,16.5,4,4
DELLDK5021A,80,63.5,73,106
GX90X21431,0.1,9,20.1,2.5
189T0AA#ABB,8.89,22.3,61.1,39.2
K55100WW,7.5,,,
7253,0.06,1.2,11,13.1
XNV-8020R,0.62,,,9.75
SBP-390WMW2,1.79,41.73,11.5,18.3
QNV-8020R,0.51,,,9.17
E16C,,2.75,8.8,19.2
XND-8020R,0.38,11,11,9
SBP-300NBW,3.4,9.43,18.5,22.1
HCB-6000,0.19,9.27,6.84,5.96
SBP-156WMW,1.52,30.2,13.5,18.3
SBP-156HMW,0.19,,,7.7
QNE-8011R,0.65,,,8.73
HCD-6080R,0.33,,,9.85
SBP-300HM7,0.14,,,5.15
PND-A9081RV,1.95,,16.3,
HCB-6001,0.29,12.39,7.31,6.72
SBV-136BW,0.35,,,4
SBP-300HM6,0.31,,,6.3
QRN-1620S,,38.48,44,8.8
QNE-7080RV,1.3,,,13.55
HCO-6080R,0.95,,,25.98
XNF-9010RV,1.1,,,7.2
XNV-9082R,,,,12.5
XNP-6400RW,,,,31.88
QNV-8080R,0.7,,,10.61
QNV-8010R,0.51,,,9.17
SBP-302PM,1.4,6.5,16.6,18.3
SBP-301HM3,0.5,,,5.5
SBV-120GW,0.28,,,
XNV-6080R,1,16,16,11.85
TAPO C210,,8.5,8.66,11.77
LS920WU,9,49,51.5,27.6
38289,0.05,2,17.4,19.4
UH34 LITE DUAL TEAMS,0.11,6.3,17,19.5
UH34 Mono Teams,0.08,6.3,17,19.5
UH34 LITE MONO TEAMS,0.08,6.3,17,19.5
4X41A08251,0.3,2.7,31.3,22.6
3201357,0.24,4.3,41.4,30
VG32VQ1BR,10.2,80.3,59.1,22.3
939-001950,2.89,37,24,12.2
242B1TC/00,9.01,14,62,42
6PA56A4#ABB,12.9,27.5,69.6,46.9
1D0K2AA,0.32,5.58,11.8,16.4
910-002737,0.11,12.7,7.5,19.5
HP.DSCAB.009,0.11,12.2,1.63,5.6
1E7D6AA,0.52,9,31,42
1D0K8AA,0.39,7.38,11.8,16.4
1E7D7AA,0.3,28.5,6,40
4L1/2211,0.63,,,10.5
4L1/2215,0.65,,,10.5
4L2/2010,0.77,18.5,11,20.5
4L1/2216,0.65,,,10.5
4L1/2212,0.65,,,10.5
4L1/2218,0.65,,,10.5
EGG-MPC-450-BLK,,40,45,
A7E32ET#ABU,1.07,16.36,26,6.6
73826,0.24,4,14,12
73817,0.2,4,14,12
4L1/7015,0.93,20.5,19.5,25
4L1/7016,2.3,31,31,24.5
4L1/7014,0.98,16.5,16.5,39.5
35404,0.55,11,17.7,7.5
20440,0.13,4.18,14.8,29
MSPEECH,0.7,19.2,23.9,8.2
920-010107,1.73,49.4,5.8,25.1
VG2756-4K,10.7,43,69.2,21.8
VG2440,8.5,40.5,60.9,21
VG2756-2K,10.2,43,69.2,21.8
USY-00005,,10.1,5.7,2.8
SM-G525FZKDEEA,0.17,0.92,7.16,14.71
LF24T450FQRXXE,5.3,38.5,60.4,14.7
GDODE1,1.61,38.01,29.12,7.72
EF-QA326TTEGEU,0.05,1.5,9.02,19.92
AVC006BTSGY,0.06,4.5,9,1.3
ACX003GLZ,0.39,2.38,30.48,15.9
981-000507,0.25,20,5.4,22
981-000612,0.17,20,5.4,22
981-000510,0.31,18,7.8,21.5
960-001257,0.2,10.15,5.22,8.1
910-005986,0.24,11.6,5.5,16
910-005235,0.02,11,10.19,1.6
910-001935,0.17,12.6,5.7,18.8
910-004905,0.13,12.6,9.1,18.8
910-001822,0.17,18.6,12.6,8.7
910-001354,0.11,9.2,3.7,23
910-002225,0.12,12.6,8.3,18.6
AMDIS07B,0.21,9,5,16
2008058,,,13.97,
2007361,,13.9,30.4,
2007812,,16,29.5,11.6
2008063,,,13.9,
2008035,,,13.97,
2008037,,,13.97,
2007792,,30.5,30.5,
2003546,,30.48,30.48,
2008067,,,13.97,
LS32A600UUUXEN,9.2,51.1,80,17.1
