sku,weight (kg),depth (cm),width (cm),height (cm)
20RW0002UK,1.8,24.5,36.5,1.89
81HQ00L1UK,1.55,24.7,34.3,2.03
81M9000YUK,1.31,20.4,29,2.09
81MD003EUK,1.14,18.6,24.9,1.8
81MD003SUK,1.14,18.6,24.9,1.8
81MD003TUK,1.14,18.6,24.9,1.8
2RS31EA#UUW,1.63,23.8,33.6,2
Y8Q64ET,1.48,23.7,33.8,1.89
7KP76ET#ABU,2.18,25.7,37.7,2.39
1TT17EA#ABU,1.4,20.8,30.6,1.95
Z2Y97EA#ABU,1.19,20.5,28.6,1.84
5TJ82ET#ABU,2,25.69,36.49,1.9
6BP67EA#ABU,1.61,22.7,32.55,1.6
3DN41EA#ABU,1.29,20.81,30,1.8
6XE62EA#ABU,1.33,22.93,31.04,1.77
6XE59EA#ABU,1.33,22.93,31.04,1.77
7KP75ET#ABU,1.73,24,34,2.09
6XD58EA#ABU,1.78,25.17,37,1.82
7YL38EA#ABU,1.27,20.5,30.58,1.58
MXNF2B/A,1.3,19.7,19.7,3.6
MWTK2B/A,1.27,,,
MXK62B/A,1.4,21.24,30.41,1.56
MXK72B/A,1.4,21.24,30.41,1.56
MWP42B/A,1.4,21.24,30.41,1.56
MWP72B/A,1.4,21.24,30.41,1.56
MWP52B/A,1.4,21.24,30.41,1.56
MWP82B/A,1.4,21.24,30.41,1.56
MVVJ2B/A,2,24.59,35.79,1.62
MVVM2B/A,2,24.59,35.79,1.62
MY2H2B/A,0.64,0.59,21.49,28.06
MY2J2B/A,0.64,0.59,21.49,28.06
MXAU2B/A,0.64,0.59,21.49,28.06
MXAV2B/A,0.64,0.59,21.49,28.06
MXAW2B/A,0.64,0.59,21.49,28.06
MXAX2B/A,0.64,0.59,21.49,28.06
MXAY2B/A,0.64,0.59,21.49,28.06
MY3D2B/A,0.64,0.59,21.49,28.06
MXF52B/A,0.64,0.59,21.49,28.06
MXF62B/A,0.64,0.59,21.49,28.06
MXF72B/A,0.64,0.59,21.49,28.06
MXF82B/A,0.64,0.59,21.49,28.06
MXF92B/A,0.64,0.59,21.49,28.06
MXFA2B/A,0.64,0.59,21.49,28.06
MY232B/A,0.47,0.59,17.85,24.76
MY252B/A,0.47,0.59,17.85,24.76
MXDC2B/A,0.47,0.59,17.85,24.76
MXDD2B/A,0.47,0.59,17.85,24.76
MXDE2B/A,0.47,0.59,17.85,24.76
MXDF2B/A,0.47,0.59,17.85,24.76
MXDG2B/A,0.47,0.59,17.85,24.76
MXDH2B/A,0.47,0.59,17.85,24.76
MY2V2B/A,0.47,0.59,17.85,24.76
