sku,product_type,weight,additional_attributes
MFCJ6945DWZU1,simple,28.7,"ts_dimensions_height=50.4,ts_dimensions_length=57.6,ts_dimensions_width=68.1"
DS720DZ1,simple,1.18,"ts_dimensions_height=25.4,ts_dimensions_length=7,ts_dimensions_width=35.4"
C11CF66001A4,simple,67,"ts_dimensions_height=59,ts_dimensions_length=100,ts_dimensions_width=91.5"
C11CC25002,simple,5.11,"ts_dimensions_height=22,ts_dimensions_length=42.5,ts_dimensions_width=36"
C11C376125,simple,0.01,"ts_dimensions_height=46.5,ts_dimensions_length=54.5,ts_dimensions_width=32.2"
C11CC24032,simple,5.2,"ts_dimensions_height=21.5,ts_dimensions_length=42,ts_dimensions_width=36"
C11CC25001,simple,0.01,"ts_dimensions_height=36,ts_dimensions_length=42.5,ts_dimensions_width=22"
C31C514007A3,simple,3.8,"ts_dimensions_height=24.3,ts_dimensions_length=40,ts_dimensions_width=25"
C11CF37402,simple,8.91,"ts_dimensions_height=28,ts_dimensions_length=54,ts_dimensions_width=45"
C11CF39402A1,simple,9.28,"ts_dimensions_height=8,ts_dimensions_length=34,ts_dimensions_width=4"
C11CF39403,simple,8.91,"ts_dimensions_height=28.1,ts_dimensions_length=53.4,ts_dimensions_width=44.6"
C11CF39401,simple,0.01,"ts_dimensions_height=44.6,ts_dimensions_length=53.4,ts_dimensions_width=28.1"
C11CF40403,simple,12.2,"ts_dimensions_height=29.5,ts_dimensions_length=73.5,ts_dimensions_width=45.1"
B11B204131BY,simple,18.5,"ts_dimensions_height=36,ts_dimensions_length=84.4,ts_dimensions_width=63.5"
B11B204331BY,simple,35,"ts_dimensions_height=53.4,ts_dimensions_length=87.5,ts_dimensions_width=74.5"
C31C518052,simple,5.04,"ts_dimensions_height=25,ts_dimensions_length=37.5,ts_dimensions_width=24"
C31C246012,simple,7.4,"ts_dimensions_height=28.5,ts_dimensions_length=40.7,ts_dimensions_width=33.2"
C33S045701,simple,31.9,"ts_dimensions_height=23,ts_dimensions_length=62,ts_dimensions_width=52"
C11CE21301,simple,0.02,"ts_dimensions_height=49,ts_dimensions_length=74.5,ts_dimensions_width=41"
C11CE22301BX,simple,0.03,"ts_dimensions_height=52.3,ts_dimensions_length=79.6,ts_dimensions_width=39.6"
C11CE20001A0,simple,311.4,"ts_dimensions_height=113.5,ts_dimensions_length=298.4,ts_dimensions_width=107.5"
C11CE85301DA,simple,16.1,"ts_dimensions_height=35,ts_dimensions_length=72,ts_dimensions_width=53"
C11CG43402,simple,0.01,"ts_dimensions_height=44.5,ts_dimensions_length=59.5,ts_dimensions_width=24"
C31C514057A0,simple,4.06,"ts_dimensions_height=25,ts_dimensions_length=37.5,ts_dimensions_width=24"
C31CD84312,simple,43.5,"ts_dimensions_height=53.5,ts_dimensions_length=79,ts_dimensions_width=57"
C31CD84012,simple,43.5,"ts_dimensions_height=53.5,ts_dimensions_length=79,ts_dimensions_width=57"
C31CC79421,simple,1.56,"ts_dimensions_height=17.9,ts_dimensions_length=23.8,ts_dimensions_width=19.7"
C31C412465,simple,2.8,"ts_dimensions_height=24,ts_dimensions_length=25,ts_dimensions_width=19.3"
C51CD69130,simple,0,"ts_dimensions_height=21,ts_dimensions_length=26.7,ts_dimensions_width=8.8"
C31CE74101A0,simple,1.67,"ts_dimensions_height=17.5,ts_dimensions_length=23.5,ts_dimensions_width=19.5"
C51CD06200,simple,0,"ts_dimensions_height=16,ts_dimensions_length=24.6,ts_dimensions_width=21"
C51CD69200,simple,0,"ts_dimensions_height=8.4,ts_dimensions_length=26.5,ts_dimensions_width=21.3"
C11CF12302A1,simple,45.5,"ts_dimensions_height=65.5,ts_dimensions_length=153,ts_dimensions_width=73"
C11CF86301A1,simple,114,"ts_dimensions_height=113,ts_dimensions_length=151,ts_dimensions_width=82"
C11CF85301A1,simple,98.5,"ts_dimensions_height=113,ts_dimensions_length=121,ts_dimensions_width=82.5"
C11CC65011BY,simple,16.1,"ts_dimensions_height=45.5,ts_dimensions_length=53,ts_dimensions_width=52"
B11B242401BY,simple,1.94,"ts_dimensions_height=12,ts_dimensions_length=38.5,ts_dimensions_width=14"
C11CG02401,simple,0.02,"ts_dimensions_height=53.5,ts_dimensions_length=54.5,ts_dimensions_width=49"
C11CE85301,simple,0.02,"ts_dimensions_height=53,ts_dimensions_length=72,ts_dimensions_width=35"
C31CE14552A0,simple,1.5,"ts_dimensions_height=14.7,ts_dimensions_length=24,ts_dimensions_width=19.9"
C31CE14552,simple,1.47,"ts_dimensions_height=14.7,ts_dimensions_length=24,ts_dimensions_width=19.9"
C31CA85033A0,simple,2.5,"ts_dimensions_height=23,ts_dimensions_length=23.5,ts_dimensions_width=19"
C31CA85050,simple,1.98,"ts_dimensions_height=23.6,ts_dimensions_length=23.1,ts_dimensions_width=19.5"
C31CD70752,simple,1.59,"ts_dimensions_height=17.2,ts_dimensions_length=23.5,ts_dimensions_width=19"
C31CD70321A0,simple,1.68,"ts_dimensions_height=17.3,ts_dimensions_length=23.9,ts_dimensions_width=19.6"
C31CF69321,simple,0.01,"ts_dimensions_height=30,ts_dimensions_length=39,ts_dimensions_width=31.5"
C31CF69301,simple,0.01,"ts_dimensions_height=29.7,ts_dimensions_length=39,ts_dimensions_width=30.5"
C31CF70321,simple,0.01,"ts_dimensions_height=35.5,ts_dimensions_length=39,ts_dimensions_width=31"
C31CE94121A0,simple,2.62,"ts_dimensions_height=23.5,ts_dimensions_length=24,ts_dimensions_width=19.5"
C31CG62204,simple,5.47,"ts_dimensions_height=28.5,ts_dimensions_length=38.5,ts_dimensions_width=29.4"
C31CG62111,simple,6.25,"ts_dimensions_height=29.4,ts_dimensions_length=38.5,ts_dimensions_width=29.5"
C31CG62213,simple,5.67,"ts_dimensions_height=29.2,ts_dimensions_length=38.2,ts_dimensions_width=29.4"
C31CG62214,simple,5.64,"ts_dimensions_height=29.4,ts_dimensions_length=38.2,ts_dimensions_width=29.7"
C31CG62101,simple,6.21,"ts_dimensions_height=29.1,ts_dimensions_length=38.5,ts_dimensions_width=29.7"
C31CG62203,simple,5.52,"ts_dimensions_height=28.7,ts_dimensions_length=38.2,ts_dimensions_width=29.3"
C31CE95141,simple,2.23,"ts_dimensions_height=23.1,ts_dimensions_length=23.8,ts_dimensions_width=19.2"
C31CE74122A0,simple,1.57,"ts_dimensions_height=18,ts_dimensions_length=23.5,ts_dimensions_width=19.7"
C31CH51012,simple,2.49,"ts_dimensions_height=28,ts_dimensions_length=23.5,ts_dimensions_width=19.2"
C31CH51012A0,simple,2.2,"ts_dimensions_height=28,ts_dimensions_length=33.5,ts_dimensions_width=19.2"
C31C514007,simple,3.82,"ts_dimensions_height=21.5,ts_dimensions_length=32.5,ts_dimensions_width=30"
C31C513057,simple,4.3,"ts_dimensions_height=25,ts_dimensions_length=37.5,ts_dimensions_width=24"
C31C517007,simple,4,"ts_dimensions_height=24.2,ts_dimensions_length=40,ts_dimensions_width=25"
C31C515052,simple,3.86,"ts_dimensions_height=25,ts_dimensions_length=37.5,ts_dimensions_width=24"
C31CA85813,simple,2.56,"ts_dimensions_height=23,ts_dimensions_length=24.5,ts_dimensions_width=20"
C31CA85052,simple,2.02,"ts_dimensions_height=23.6,ts_dimensions_length=24.2,ts_dimensions_width=19.3"
C31C249012,simple,7.42,"ts_dimensions_height=28.5,ts_dimensions_length=40.7,ts_dimensions_width=33.2"
C31C514007A0,simple,3.99,"ts_dimensions_height=25,ts_dimensions_length=37.5,ts_dimensions_width=24"
C31C176252,simple,6.42,"ts_dimensions_height=32,ts_dimensions_length=42,ts_dimensions_width=35.5"
C31C151283,simple,7.2,"ts_dimensions_height=33,ts_dimensions_length=42.5,ts_dimensions_width=36"
C11CA13051,simple,8.49,"ts_dimensions_height=29,ts_dimensions_length=55,ts_dimensions_width=38"
C13S045302,simple,9,"ts_dimensions_height=14,ts_dimensions_length=112,ts_dimensions_width=14"
C31CA85032,simple,2.56,"ts_dimensions_height=23.6,ts_dimensions_length=24.2,ts_dimensions_width=19.3"
C31C514057BD,simple,4.8,"ts_dimensions_height=29.3,ts_dimensions_length=37,ts_dimensions_width=23.5"
C31C412412,simple,2.8,"ts_dimensions_height=24,ts_dimensions_length=25,ts_dimensions_width=19"
C31C412652A0,simple,3,"ts_dimensions_height=24,ts_dimensions_length=25.5,ts_dimensions_width=19.5"
C31CA85044A1,simple,2.56,"ts_dimensions_height=23.5,ts_dimensions_length=23.5,ts_dimensions_width=20"
C31CD38972A0,simple,2.86,"ts_dimensions_height=25,ts_dimensions_length=25,ts_dimensions_width=19.4"
C31CE95112,simple,2.03,"ts_dimensions_height=23.2,ts_dimensions_length=23.8,ts_dimensions_width=19.4"
C31CE95121A0,simple,2.4,"ts_dimensions_height=23,ts_dimensions_length=23.5,ts_dimensions_width=19"
C31CE95112A0,simple,2.04,"ts_dimensions_height=23,ts_dimensions_length=23.5,ts_dimensions_width=19"
C31CD38025B2,simple,2.76,"ts_dimensions_height=23.5,ts_dimensions_length=25,ts_dimensions_width=19"
C31CE94551,simple,2.62,"ts_dimensions_height=23.5,ts_dimensions_length=24,ts_dimensions_width=19.5"
C31CE94102A0,simple,2.66,"ts_dimensions_height=23.5,ts_dimensions_length=23.5,ts_dimensions_width=19.5"
C31CD70652A0,simple,1.64,"ts_dimensions_height=17.2,ts_dimensions_length=24,ts_dimensions_width=19.5"
C31C514057BE,simple,3.82,"ts_dimensions_height=22,ts_dimensions_length=33,ts_dimensions_width=30"
C31CD38024C0,simple,2.88,"ts_dimensions_height=23.8,ts_dimensions_length=25.1,ts_dimensions_width=18.9"
C31CD38024C1,simple,2.8,"ts_dimensions_height=24,ts_dimensions_length=25,ts_dimensions_width=19"
C31CD38025C0,simple,2.86,"ts_dimensions_height=23.5,ts_dimensions_length=25,ts_dimensions_width=19"
C31CE94751,simple,2.62,"ts_dimensions_height=23.5,ts_dimensions_length=24,ts_dimensions_width=19.5"
C31CE74112,simple,1.61,"ts_dimensions_height=17.9,ts_dimensions_length=23.7,ts_dimensions_width=19.7"
B11B252402,simple,0,"ts_dimensions_height=14,ts_dimensions_length=33,ts_dimensions_width=6.5"
B11B253402,simple,0,"ts_dimensions_height=14.1,ts_dimensions_length=33,ts_dimensions_width=6.7"
B11B226401,simple,0,"ts_dimensions_height=25,ts_dimensions_length=36.5,ts_dimensions_width=28.5"
40CC150,simple,41.9,"ts_dimensions_height=56.8,ts_dimensions_length=73.8,ts_dimensions_width=64.3"
36S0208,simple,15.8,"ts_dimensions_height=37.6,ts_dimensions_length=47,ts_dimensions_width=43"
36S0308,simple,16,"ts_dimensions_height=37.6,ts_dimensions_length=47,ts_dimensions_width=43"
36S0508,simple,18.1,"ts_dimensions_height=42.2,ts_dimensions_length=47,ts_dimensions_width=43"
50G0225,simple,29.9,"ts_dimensions_height=56.5,ts_dimensions_length=65,ts_dimensions_width=55"
50G0945,simple,29.9,"ts_dimensions_height=56.5,ts_dimensions_length=65,ts_dimensions_width=55"
36SC550,simple,17.8,"ts_dimensions_height=42.2,ts_dimensions_length=47,ts_dimensions_width=43"
42C0093,simple,23.9,"ts_dimensions_height=59.4,ts_dimensions_length=49.5"
42CC173,simple,23.8,"ts_dimensions_height=40.2,ts_dimensions_length=59.5,ts_dimensions_width=49.5"
40C9587,simple,64,"ts_dimensions_height=95.5,ts_dimensions_length=73.5,ts_dimensions_width=70"
36S0908,simple,26.6,"ts_dimensions_height=68.2,ts_dimensions_length=60.5,ts_dimensions_width=55.2"
42C7343,simple,30.5,"ts_dimensions_height=57,ts_dimensions_length=59.4,ts_dimensions_width=55.8"
42CC593,simple,31.2,"ts_dimensions_height=57,ts_dimensions_length=59.4,ts_dimensions_width=55.8"
40N9163,simple,22.7,"ts_dimensions_height=51.9,ts_dimensions_length=55.6,ts_dimensions_width=44"
40N9153,simple,22.7,"ts_dimensions_height=51.9,ts_dimensions_length=55.6,ts_dimensions_width=44"
C600V_N,simple,33.8,"ts_dimensions_height=60.7,ts_dimensions_length=63.4,ts_dimensions_width=58"
P00930-B21,simple,0.05,"ts_dimensions_height=8.89,ts_dimensions_length=1.91,ts_dimensions_width=19.05"
STDR5000203,simple,0.41,"ts_dimensions_height=4.3,ts_dimensions_length=14.6,ts_dimensions_width=10.5"
