sku,weight (kg),length (cm),width (cm),height (cm)
WHULT900NB.CE7,0.441,1.2,7,25.4
WHCH720NP.CE7,0.442,1.2,5.5,26
WHCH520Y.CE7,0.147,1.2,4.4,22.8
WHCH520P.CE7,0.147,1.2,4.4,22.8
WHC18T332,67,2.45,58,184
WH5024-DWW,0.189,2,,
WH3024-DWW,0.11,2,,
WGG254Z0GB,73.9,2.1,59.8,84.5
WGG244ZCGB,72.5,1.6,59.8,84.5
WGG24400GB,71,2.1,59.8,84.8
WGE03408GB,71.1,2.1,59.8,84.8
WGB256A1GB,82.8,2.1,59.8,84.5
WFLS910NW.CE7,0.18,,6.6,9
WFLS910NV.CE7,0.18,,6.6,9
WFLS910NG.CE7,0.18,,6.6,9
WFLS910NB.CE7,0.18,,6.6,9
WFL910W.CE7,0.16,,5.8,8.9
WFL910V.CE7,0.16,,5.8,8.9
WFL910B.CE7,0.16,,5.8,8.9
WFC710NW.CE7,0.135,,4.21,11.01
WFC710NP.CE7,0.135,,4.21,11.01
WFC710NL.CE7,0.135,,4.21,11.01
WFC710NB.CE7,0.135,,4.21,11.01
WDS800T2XHE-00CDD0,0.0304,,2.43,1.04
WDS800T2XHE,0.0304,,2.43,1.04
WDS800T2X0E-00CDD0,,,2.2,0.38
WDS500G4X0E-00CJA0,0.0058,,2.2,0.1
WDS500G4G0E-00CPS0,0.0054,,2.2,0.238
WDS500G4B0E-00CNZ0,0.0057,,2.21,0.238
WDS500G4B0E,0.0057,,2.21,0.238
WDS500G3X0G,0.0028,,2.21,0.22000000000000003
WDS500G3B0B-00AXS0,0.0048,,2.2,0.238
WDS500G2G0C,0.0085,,2.2,8
WDS480G3G0A-00BJG0,0.0362,,6.9799999999999995,0.71
WDS400T4B0E-00BKY0,0.0057,,2.2,0.22999999999999998
WDS400T4B0E,0.0057,,2.2,0.22999999999999998
WDS400T3B0A,0.0346,,2.2,0.7
WDS400T2XHE-00BCA0,0.0304,,2.43,1.04
WDS400T2R0A-68CKB0,0.0346,,,
WDS400T1R0C-68BDK0,0.00957,,2.2,0.238
WDS200T4G0E-00CPS0,0.0054,,2.2,0.1
WDS200T4B0E-00CNZ0,0.0057,,2.21,0.238
WDS200T3X0G,0.0028,,3,2.21
WDS200T3X0E,0.0055,,2.2,0.238
WDS200T3B0B-00C7C0,0.0048,,2.2,0.238
WDS200T2G0A-00CMW0,0.0327,,6.9799999999999995,0.7
WDS100T4B0E-00CNZ0,0.0057,,2.2,0.22999999999999998
WDS100T3G0C-00AZL0,0.0075,,2.2,0.238
WDL854431W,68,1.3,65,84
WDL742431W,63,1.3,65,84
WDL742431B,63,1.3,65,84
WDIK854421F,69,1.3,65,82
WDD60,0.0045,,,
WDBZRG0060BBK-WESN,0.249,,8.78,2.3
WDBZ7D0060BBK-WESN,0.249,,8.78,2.3
WDBY3J0060BGY-WESN,0.208,,7.5,2.05
WDBWLG0240HBK-EESN,0.9,,4.8,16.580000000000002
WDBWLG0220HBK-EESN,0.9,,4.8,16.580000000000002
WDBR9S0060BBK-WESN,0.208,,7.5,2.05
WDBHJS0060BBK-WESN,0.231,,8.2,2.38
WDBGKC0060BSL-WESN,0.24,,8.1,2.2
WDBAYN0020BBK-WESN,0.027,,6.45,0.8
WDBAGF0040BGY-WESN,0.045700000000000005,,5.51,0.889
WDBAGF0010BGY-WESN,0.045700000000000005,,5.5,0.9
WD85PURZ,0.65,,10.16,2.6100000000000003
WD80EFPX? 4 PACK,0.715,,10.16,2.6100000000000003
WD80EFPX? 2 PACK,0.715,,10.16,2.6100000000000003
WD80EFPX,0.75,,10.16,2.6100000000000003
WD8005FRYZ,0.641,,10.16,2.6100000000000003
WD8005FFBX? 4 PACK,,,10.16,2.6100000000000003
WD8005FFBX,0.67,,10.16,2.6100000000000003
WD8002PURP,0.715,,10.16,2.6100000000000003
WD8002FZBX,,,14.7,10.16
WD6005FFBX,0.67,,10.16,2.6100000000000003
WD6004FZBX,,,14.7,10.16
WD6004FRYZ,0.641,,10.16,2.6100000000000003
WD40EFPX? 4 PACK,0.57,,10.16,2.6100000000000003
WD4006FZBX,0.72,,14.7,10.16
WD4005FFBX,0.67,,10.16,2.6100000000000003
WD4004FRYZ,0.641,,10.16,2.6100000000000003
WD33PURZ,0.65,,10.16,2.6100000000000003
WD260PURP,0.69,,10.16,2.6100000000000003
WD260KFGX,0.67,,10.16,2.6100000000000003
WD241KRYZ,0.67,,10.16,2.6100000000000003
WD240PURP,0.69,,14.7,10.16
WD240KFGX,0.67,,10.16,2.6100000000000003
WD221PURP,0.67,,10.16,2.6100000000000003
WD221KRYZ,0.67,,10.16,2.6100000000000003
WD221KFGX,0.67,,10.16,2.6100000000000003
WD181PURP,0.69,,10.16,2.6100000000000003
WD181KFGX 4 PACK,0.69,,10.16,2.6100000000000003
WD181KFGX 2 PACK,0.69,,10.16,2.6100000000000003
WD142PURP,0.69,,10.16,2.6100000000000003
WD142KRYZ,0.69,,10.16,2.6100000000000003
WD142IXL,19,,66.5,23
WD121PURP,0.66,,10.16,2.6100000000000003
WD120EFGX,0.75,,10.16,2.6100000000000003
WD103KRYZ,0.66,,10.16,2.6100000000000003
WD103KFBX,,,10.16,2.6100000000000003
WD102PURP,0.75,,10.16,2.6100000000000003
WD100EFGX,0.75,,10.16,2.6100000000000003
WCMTB-T27B8CBD8-A6,,,7.63,16.5
WCH013MYWH,0.20683,,5.46,15.85
WCE001MY1MWH,,1,2.9,5.8
WCA004VFWH,,,7.3,2.6
WBEXTWAR1YR-SP-02,0.11,0.6,31.8,24.1
WBEXTWAR1YR-SP-01,0.11,0.5,31.5,24.1
WBE530-EU0101F,1.03,,28,6.6
WB704H1A0902,,,6.790000000000001,7.959999999999999
WB5023-DEMEA,,1.5,,
WB3023-DEMEA,0.151,,4.8,
WAX625-100EUS,0.819,,24.119999999999997,5.14
WAX300H-EU0101F,0.483,,19.5,5.3
WAX210-100EUS,0.219,,11.5,3.05
WAVE-NANO,0.932,,25.65,25.65
WAVE-LR,2.59,,42.44,42.44
WAN28259GB,70.3,2.1,59.8,84.5
WAN28258GB,70.3,2.1,59.8,84.5
WALLY1064,0.04,,7.45,16.45
W7IHF60TUSUK,37.5,1.3,62.5,91
W7FHS51AXUK,49,1.3,62.5,91
W7FHP33UK,49,1.3,62.5,91
W7C36AA,0.022,,29.5,20.9
W73H,8,,,
W5821EW,65,2.45,64,194.5
W2IHD524UK,37.5,1.3,62.5,91
W2FHD626UK,44.9,1.3,62.5,91
W2193A,0.73,,36.3,11.1
W2192A,0.73,,36.3,11.1
W2191A,0.73,,36.3,11.1
W2190A,0.73,,36.3,11.1
W2133A,1.23,,37.4,18.8
W2130A,1.23,,37.4,18.8
W1331A,192.8,,35,15.9
VZ24EHF,4.12,,54.02,31.65
VY27UQ,6.8,,61.3,36.5
VY249HF-W,4.6,,54.1,32.3
VY229HF,4.2,,49.39,29.03
VX3480-2K-PRO,9.8,,81.42,35.6
VX3276-4K-MHD-2,8.1,,71.42999999999999,42.75
VX27G1-HD,4.9,,61.510000000000005,36.410000000000004
VX2779A-HD-PRO,5.5,,61.5,36.38
VX2758A-2K-PRO-3,6.4,,61.410000000000004,36.56
VX24G1-HD,4,,54.21,32.239999999999995
VX2479J-HD-PRO,6.4,,54.19,32.3
VX2479A-HD-PRO,4.2,,54.19,32.3
VW-CPU,0.78,,27.1,2.7399999999999998
VW884-AT,1.2,35,25.3,5.9
VW784-AT,1.04,35,25.3,5.9
VSQ2200X-K,2.8,,44,4.4
VSPQ2200XB-K,4.3,,44,4.4
VSP-HDMI1X8-4K,0.5,,,
VS94A,0.61,,350,
VS82H-AT,4.8,49,31.5,33.8
VS82H,4.8,49,31.5,33.8
VS491,0.18,,150,4.4
VS481B,0.47,,20,2.5
VS162,0.62,5,,
VS0801HB,2.14,,6,4.4
VPL VW200,20,,,
VP3520-AT-E,5.46,32.5,13.3,32.4
VP2420,1.85,,20.7,11.7
VP229HF,3.8,,49.36,29.119999999999997
VP2021-AT-E,0.47,,10.4,2.83
VP2020-AT-E,6.37,50,23.2,28.3
VM8584K2,1.3,44,30,13.8
VM8584K1,1.57,44,30,13.8
VM7584K2,1.44,44,30,13.8
VM7584K1,1.44,44,30,13.8
VM5808HA-AT-E,5.54,,37.82,4.4
VM551SS,,1,56,36.2
VM5404HA-AT-E,6.62,,50.6,13
VM452SS,,1,56,38
VM231SS,,,56,38
VM131BL,,,56,38
VM1005BRKTKIT,,,21.5,
VLM-TPM,0.21,,16.5,2.7
VLM-S,0.87,,32.5,4.5
VLM-F,0.25,,5,2.4
VK401-AT,0.04,,7,2.33
VK302,0.33,22.4,12.7,2.3
VK2100A-AT-E,3.51,,13.1,23.3
VK1200-AT-E,2.08,42.7,20.7,11.7
VK01001,0.16,,11.629999999999999,4.8
VJB-300,0.364,,12.5,13.040000000000001
VIGI NVR2016H-16MP,4.1,,33,4.5
VIGI NVR2016H,3.2,,33,4.5
VIGI NVR2008H-8MP,4.1,,33,4.5
VIGI NVR1008H-8MP,2.1,,25,8
VIGI C540(4mm),0.95,,16.3,24.3
VGP-AC19V10,0.42,,,
VG34VQ3B,10.8,,80.9,36.6
VG3457CV,15.5,,80.8,11.5
VG328QA1A,8.8,,71.62,42.69
VG3208-4K,9.8,,71.42999999999999,42.75
VG27WQ3B,6.9,,61,36.7
VG27VQ3B,6.3,,61,36.7
VG27AQL3A,9.3,,61.5,36.7
VG2757V-2K,5.5,,61.27,39.010000000000005
VG2756V-2K,11.5,,61.3,39
VG2709U-2K,8.1,,61.379999999999995,36.58
VG24VQER,4.9,,53.8,32
VG2448A-2,8.2,,53.9,32
VG2208A-HD,0.0022,,49.29,28.65
VFY:U7411MF5BMDE,1.2,,32.2,1.7899999999999998
VFY:R2546SC234IN,32,,48.25,8.690000000000001
VFM-WVC/2,4.5,,104,10
VFM-POST,14.2,,28,16.5
VFM-F51T,110,,,
VFM-F12,20.8,,36,15.5
VFM-F10/HB,45,,76,194.02
VEO3GO235CB,1.04,33,,135.9
VE883ATK2-AT-E,0.67,1310,14.690000000000001,3
VE883ATK1-AT-E,0.67,850,14.690000000000001,3
VE883ARK2-AT-E,0.66,1310,14.690000000000001,3
VE883ARK1-AT-E,0.66,850,14.690000000000001,3
VE883AK2-AT-E,8.83,56.5,37.5,25.8
VE883AK1-AT-E,0.67,850,10.2,
VE814AT-ATA-E,0.45,,12.3,3
VE814AR-ATA-E,0.47,,10.2,
VE814A-ATA-E,0.45,,10.2,
VE2812PR-AT-E,3.1,32.5,25,17.5
VE1901AEUT-AT-E,1.85,32.5,25,17.5
VE1843-AT-E,5.87,,23.2,28.3
VE150A,0.25,150,,
VE066,0.05,,4.95,
VCNRTXA400-SB,,16.259999999999998,96,6.859999999999999
VCNRTXA1000-SB,,16.3,192,6.9
VCNRTX5000ADA-SB,,,576,
VCNRTX4500ADA-SB,1.08,26.669999999999998,,11.18
VCNRTX4000ADALP-SB,,16.759999999999998,320,6.85
VCNRTX2000EADA-SB,,,224,
VCG309024TFXPPB,,29.4,936,11.2
VC985,0.04,,4.5,1.5
VC965-AT,3.52,33.5,27,23
VC83-10SSCNBAABA-I,3.7,,27.6,23.8
VC83-08FOCQBAABA-I,3.7,,27.6,23.8
VC180,0.15,,7.9,2.44
VB-WMK-001-2C,7.14,,96,65
VA-USBC31-RJ45,0.1,,3.8,1.47
VAP962C-K,0.52,,19,3
VAP805-K,0.405,,11,15.3
VA3820C,13.3,,89.75,39.85
VA27EQSB,8.4,,61.33,36.589999999999996
VA279HG,6.18,,61.339999999999996,36.21
VA2718-SH,6.5,,62,36.2
VA24E1-H,,,,No
VA240-H-2,4,,53.98,32.43
VA2406-H,4.8,,54,32.3
V8Y76A#ABY,0.12,,24.5,3.5
V812-055R,0.633,10.9,14,40.4
V809-4266R,0.774,57,,11.2
V3912S-K,3.82,,44.3,4.5
V2962-DE-AT-CH,1.7,,27.3,4.5
V2865AX-B-DE-AT-CH,0.78,,24.1,4.4
V1Q57A,0.29,91.4,137.2,
V167-DE-AT-CH,0.27,,4,12.5
V167,0.27,,4,12.5
V12H774010,,,3.5,6.2
V12H758040DA,4.84,120,100,2.68
V12H004X0A,3.49,0.58,,
V12H004W08,0.0038599999999999997,19.7,27.5,26
V12H004W06,0.0033799999999999998,,23.8,23.3
V12H004UA3,0.0028399999999999996,,25.5,25
V12H004U04,0.0038599999999999997,14.8,24.5,23.9
V11T73C1,19.3,52,40,31
V11T69C23,23.5,53,46.5,31
V11HB38140,3,1.3900000000000001,23.6,19.3
V11HB35040,2.3,1.3900000000000001,19.7,11.3
V11HB07140,7.4,0.37,46.7,15.3
V11HB04980,29.2,,58.6,21.8
V11HB04880,29.2,,58.6,21.8
V11HB03880,28.8,,58.6,21.8
V11HB02880,18.8,,54.5,18.9
V11HB01880,18.6,,54.5,18.9
V11HA99180,12.5,0.22999999999999998,69.5,15.6
V11HA86040,3.68,,29.5,8.7
V11HA81080,5.9,0.37,,
V11HA80080,6,0.37,35.6,13.3
V11HA73040,4.1,18.2,33.3,13.1
V11HA68840,23.7,varies by lens,58.6,21.8
V11HA64940,24.3,varies by lens,58.6,21.8
V11HA52940,22.1,varies by lens,54.5,18.9
V11HA52840,21.9,varies by lens,54.5,18.9
V11HA35940,20.6,varies by lens,54.5,18.9
V11HA34940,21.5,varies by lens,54.5,18.9
V11HA34840,21.5,varies by lens,54.5,18.9
V11HA33940,21.5,varies by lens,54.5,18.9
V11HA33840,21.4,varies by lens,54.5,18.9
V11HA26040,12.3,20,44,13.6
V11H987040,4.68,18.2,30.9,9
V11H871041,6.4,120,100,3.5
V11H796041,3.73,120,100,15
V10T61C24,18.5,39,30,60
V10T59C1,17.6,39,30,60
UXG-Max,0.52,,14.180000000000001,3
UXG-Lite/UK,0.32,,9.8,3
UX8406MA-PZ442X,1.65,,31.35,1.99
UX8406MA-PZ203W KTO,2.95,,4.55,23.6
UX7,0.422,,11.7,4.25
UX5406SA-PZ169W,3.67,,41,28.4
UX5406SA-PZ040W,1.2,,31.03,1.29
UX5304VA-NQ039W,1,,29.619999999999997,1.18
UX3405CA-QL241W,3.67,,41,28.4
UX3402VA-KM468W,3.67,,7.5,28.4
UX,0.302,,9.8,3
UW8F2CXLSB2,71,2.45,64,194
UVC-G6-Bullet-W,0.587,,,8.879999999999999
UVC-G5-DOME-ULTRA,0.175,,,6.82
UVC-G5-DOME-3,0.39,,,
UVC-AI-Turret-W,0.99,0.3,,11.1
UVC-AI-Dome-W,0.7,0.3,,9.08
UTP-TouchMax,1.5,,25.5,18.3
UTP-TOUCH,1.1,,16.6,18.3
USW-ULTRA-60W,0.32,,20.3,3.3
USW-PRO-MAX-48,4.8,,44.239999999999995,4.37
USW-PRO-MAX-16-UK,1.95,,32.510000000000005,4.37
USW-Pro-HD-24,4.2,,44.239999999999995,4.4
USW-Flex-2.5G-8,0.567,,21.29,3.35
USW-FLEX-2.5G-5,0.206,,11.709999999999999,2.12
USGFLEX50H-EU0102F,1.27,,27.8,18.9
USGFLEX50H-EU0101F,1.27,,27.8,18.9
USGFLEX50AX-EU0101F,1.53,,27.6,18.5
USGFLEX500-GB0101F,2.83,,35.1,15.2
USGFLEX100H-EU0101F,1.62,,27.8,18.9
USGFLEX100AX-EU0102F,1.53,,28.4,19
USGFLEX100AX-EU0101F,1.53,,28.4,19
USCE56VIX4SA,1.22,,27.9,2.35
USBC-PWRTESTER,0.028,18,43,27
USBC-AUDIO-SPLITTER,0.02,18,12.5,8.2
USB3C-901-2M,,2,,
USB3C-901,,1,,
USB2EPR4MW,0.14,32,50,21
USB2EPR4M,0.14,32,50,21
USB2EPR3MW,0.102,32,50,21
USB2EPR3M,0.102,32,50,21
USB2EPR2MW,0.075,32,50,21
USB2EPR2M,0.075,32,50,21
USB2051BK,,5,,
USB2020BK,,3,,
USB2004EXT100,0.143,32.3,41,27.5
US3384I,0.5,,8.059999999999999,2.5
US3324-AT,3.16,40.5,39.5,18.2
US3311-AT-E,4.25,33.6,30,19.4
US3310,0.33,,11.9,2.38
URT-625K,,25,,
URT-610W,,10,,
URT-610K,,10,,
URT-605W,,5,,
URT-603K,,3,,
URT-602K,,2,,
URT-601K,,1,,
UR4584W,0.308,,57.6,89.6
UP-SENSE-3,0.0502,,,8.35
UP-FloodLight,0.216,,6.5,13.5
UNIVMK25-LAPTOP-LOCK,3.9,27.3,34.8,27.9
UNIVKA25-LAPTOP-LOCK,3.4,27.3,34.8,27.9
UNIVCS-LAPTOP-LOCK,0.1536,23.4,51.5,25.8
UNIVCS25-LAPTOP-LOCK,3.9,27.3,34.8,23.6
UNITY MESHBAY PERFORMANCE,7.7,18,21,46.5
UNITY LATERAL ARGB,7.7,20,23,51
UNITY CASCADE BLK,6.9,28,20,46
UNITY ARENA BLK,7,18,23.5,49.5
UNI7-12TDCM,5,,,
UMR-ULTRA,0.2,,8.2,19.35
UMR-Industrial,0.395,,9.4,21.7
UMB202,,1.8,46.17,7.640000000000001
UM5606WA-RJ091W,3.97,,8,28.4
UM5606WA-RJ090W,4.82,,6.5,31
UM3406KA-PP013W,3.67,,41,28.4
UM3406KA-PP005W,3.67,,7.5,28.4
UM.XP3EE.E02,2.33,,42.3,25.6
UM.WV7EE.H06,,,49.339999999999996,38.92
UM.WV7EE.309,2.46,,49.339999999999996,28.830000000000002
UM.WV7EE.033,3.7,,63,36.1
UM.QX2EE.G10,5.28,,54.029999999999994,31.82
UM.QX0EE.H01,4.5,,54,32.4
UM.QV7EE.G11,5.41,,54.029999999999994,31.82
UM.QS2EE.010,3.62,,53.9,32
UM.QQ0EE.104,3.9,,54.029999999999994,32.32
UM.QB7EE.G14,7.36,,54.029999999999994,31.82
UM.QB2EE.G11,8.09,,54.029999999999994,31.82
UM.QB2EE.E05,2.75,,54,32.3
UM.QB2EE.E02,5.1,,54.029999999999994,32.32
UM.NZ7EE.002,27,,131.39000000000001,43.519999999999996
UM.KE1EE.G02,,,,No
UM.JXXEE.X02,9.85,,71.39,41.269999999999996
UM.JXXEE.S02,11.7,,71.44,42.75
UM.JX3EE.302,12.8,,71.57000000000001,42.78
UM.JX0EE.307,7.9,,70.9,41.980000000000004
UM.JS2EE.A14,7.86,,71.5,42.2
UM.JE0EE.304,4.3,,70.9,41.980000000000004
UM.JB2EE.E03,12.5,,71.38,42.4
UM.HX3EE.311,9.8,,61.4,36.7
UM.HX2EE.G08,6.1,,61.21,35.9
UM.HX0EE.318,5.8,,61.489999999999995,4.11
UM.HV2EE.304,6.3,,61.44,36.7
UM.HQ0EE.104,5.5,,61.25,36.58
UM.HE1EE.G02,5.1,,61.17,35.519999999999996
UM.HB8EE.E10,12.8,,61.44,38.96
UM.HB7EE.G07,9.34,,61.21,35.9
UM.HB7EE.E13,,,61.23,52.11
UM.HB7EE.E07,4.9,,61.3,45.5
UM.HB2EE.G08,9.04,,61.21,35.9
UM.HB2EE.320,5.32,,61.44,36.7
UM.GXXEE.104,9.65,,61.07000000000001,35.17
UM.FX2EE.F02,7.04,,55.8,33
UM.FB7EE.004,6.2,,53.3,51
UM.CX0EE.012,9.25,,80.65,36.17
UM.CC2EE.002,1.06,,80.7,36.4
UM.CB6EE.A19,,,40.64,55.32000000000001
UM.CB2EE.018,6.8,,81.7,36.7
ULS17C1,0.348,,32.5,51.2
UL4584W,0.308,,57.6,89.6
UL4584S,0.308,,57.6,89.6
UISP-S-PLUS,1.75,,21.04,4.37
UISP-R-Pro,3.3,,44.239999999999995,4.37
UHRA-NT-14,,,0.8099999999999999,
UHRA-NT-05,,,0.8099999999999999,
UHRA-MG-14,,,0.8099999999999999,
UHRA-AS-13,,,8.1,
UHRA-AS-12,,,8.1,
UHRA-AA-13,,,0.8099999999999999,
UHRA-AA-05,,,0.8099999999999999,
UH6120C,,0.18,11.82,1.4300000000000002
UH36 MONO UC,4.86,40,34.5,31
UH34 Mono UC,0.0825,1.2,17,19.5
UH3240-AT,0.18,0.4,4.3,1.6
UH3239,0.07,,3.6,1.1
UF-WIFI6,0.415,1490,14.15,3.16
UF-SM-PATCH-UPC-APC,,1.2,,
UF-SM-PATCH-APC-APC,,1.2,,
UFS4584W,0.308,,57.6,89.6
UFF4584W,0.308,,57.6,89.6
UFF4584S,0.308,,57.6,89.6
UE302C,,,6.8,1.9
UDR7,1.1,,11,18.41
UDM-PRO-MAX-UK,4.7,,44.239999999999995,4.37
UDB-Pro,0.515,,18.95,18.95
UDB,0.2,,13,3.4
UD2100002-01,0.4,,,
UCUESHV1,7.5,10,34,79
UCK-G2-SSD,0.56,,13.12,2.71
UCG-MAX,0.519,,14.180000000000001,3
UCE32100,0.21,,7.9,2.44
UC-CAM10PRO-1,0.5,,16.2,12.4
UCC-3M-10G-USB-CABLE,0.195,32,50,21
UC3430-AT-E,6.28,42.7,41.4,20.7
UB500 PLUS,,,1.6800000000000002,8.1
Z1FU_3758_GB_CTO,2.15,,35.57,1.6800000000000002
Z1FU_3364_GB_CTO,2.15,,35.57,1.6800000000000002
Z1FE_16606_GB_CTO,1.6,,31.26,1.55
Z1FE_11354_GB_CTO,1.6,,31.26,1.55
Z1CU_17_GB_CTO,1.67,,5.57,24.369999999999997
YSV-2CSMD-4CK,3.73,,19.9,28.2
YSV/390/DB1,14.8,,37,42
YSV/200/DB1,5,,31,20
YSV/170/DB2/P,2.3,,23,17
YSV/170/DB2,2.3,,23,17
YSS/250/EB1,13.8,,41.05,32
YSFM/520/EG1,28,,52,36
YSFM/400/EG1,22,,40,34
YSFM/250/EG1,15.7,,35,25
YSEB/400/EB1,18.2,,40,44
YSEB/250/EB1,13.1,,38,29
YSEB/200/EB1,9.1,,38,23.5
YLV/200/DB1,10.2,,45,23
YLFM/200/EG1,18,,20,35
YLEB/200/EB1,14.9,,51,24
YFM-520-FG2,,,40.4,52.2
YFM-420-FG2,,,35.2,42
YFM-352-FG2,,,35.2,41.2
Y1811G11,0.5,1.5,,
XZ000-G7,,,9.5,2.93
XX60004WH,,305,,
XX60003WH,,305,,
XVC2140,0.582,2,12.2,17.1
XUB2797QSN-W1,8.7,,61.35,36.4
XUB2792QSU-W6,7.9,,61.35,39.4
XUB2792HSU-W6,5.7,,61.25,39.4
XUB2497HSU-W2,6.9,,53.85,35
XUB2492HSU-W6,4.9,,53.95,34.3
XUB2292HSU-W6,5.9,,48.95,33.65
XTY850G-850W,1.76,120,16,15
XTY850G-750W,1.76,120,16,15
XTY850D-750W,1.76,120,16,15
XTY850D-650W,1.75,120,16,15
XTAG01,11.3,44.4,35,32
XSM4324-100NES,4.3,,22,4.32
XSM4316PB-100NES,3.22,,21.2,4.4
XS516TM-100EUS,2.45,,33,4.32
XRN-1620SB1-4TB-S,5.76,,44,8.98
XR-9WE1,,8,0.9,
XR65X90LU,24.2,,120.9,100.4
XR65A80LU,0.9,,116.4,18
XR55X90LU,16.9,,106.7,84.2
XR55A95LU,24,,122.3,83.7
XR50X90SU,0.6,,66.5,71.5
XR42A90KU,3.1,,50,55.1
XQEC54EUKCG.GC,0.192,,7.4,16.2
XQ+DA0001,,1,,
XNP-6120H,1.9,5.2,16.8,16.15
XNO-8083R,2.2,4.4,9.34,9.34
XNO-6123R,2.3,29.839999999999996,,
XHCDESKTCAM,0.061,1.45,5.2299999999999995,6.55
XGZ030,,,12,2.79
XGS1935-52-GB0101F,3.7,,44,4.3
ZT41143-D9E0000Z,18.6,185.4,26.9,32.4
ZT41142-D9E0000Z,18.6,185.4,26.9,32.4
ZT23143-T2E000FZ,9.1,450,24.1,27.9
ZT11143-T0E000FZ,7.7,450,24.1,27.9
ZT11142-D0E000FZ,7.7,450,24.1,27.9
ZRDN18ES3,61,2.4,59,184
ZQ63-AUFAE14-00,1.1,81.3,8.25,18.669999999999998
ZQ52-BUE000E-00,0.79,,15.5,6.7
ZQ51-BUE001E-00,0.63,,12,6.2
ZQ22-B16B1KE-00,0.42,,11.45,12.95
ZQ21-A0E01KE-00,0.265,,8.55,11.8
ZPE-SENSOR-THS-U01,,4,,
ZPE-NSR-88-SDC-POE,4.9,,,
ZPE-NSR-88-SAC-POE,4.9,,,
ZPE-NSR-88-DDC,4.9,,,
ZPE-NSR-88-DAC,4.9,,,
ZPE-NSR-816-DAC,4.9,,,
ZPE-NSR-48-SDC-POE,4.9,,,
ZPE-NSR-48-SAC-POE,4.9,,,
ZPE-NSR-48L-DAC,4.9,,,
ZPE-NSR-48-DDC,4.9,,,
ZPE-NSR-48-DAC,4.9,,,
ZPE-NSCP-T96R-STND-SAC-W5-4G-GW,0.536,59,49,23
ZPE-NSCP-T96R-STND-DDC-W5-4G-GW,0.536,59,49,23
ZPE-NSCP-T16R-STND-SAC-W5-4G-GW,0.536,59,49,23
ZPE-LSR-48-BASE,1.5,17,13,5.5
ZPE-LSR-48-4G-W5-D128G,1.5,17,13,5.5
ZPE-LSR-48-4G-W5,1.5,17,13,5.5
ZPE-LSR-48-4G,1.5,17,13,5.5
ZPE-LSR-24-W5,1.5,17,13,5.5
ZPE-LSR-24-BASE,1.5,17,13,5.5
ZPE-LSR-24-4G-W5-D128G,1.5,17,13,5.5
ZPE-LSR-24-4G-W5,1.5,17,13,5.5
ZPE-LSR-24-4G,1.5,17,13,5.5
ZPE-HSR-416-W5-GW,1.3,20,25,44
ZPE-HSR-416-D128G-GW,1.3,20,25,44
ZPE-HSR-416-4G-W5-GW,1.3,20,25,44
ZPE-HSR-416-4G-W5-D128G-GW,1.3,20,25,44
ZPE-HSR-416-4G-GW,1.3,20,25,44
ZPE-GSR-816-W5,0.9,35,37,18
ZPE-GSR-816-D128G,0.9,35,37,18
ZPE-GSR-816-BASE,0.9,35,37,18
ZPE-GSR-816-4G-W5-D128G,0.9,35,37,18
ZPE-GSR-816-4G,0.9,35,37,18
ZPE-GSR-48-D128G,0.9,35,37,18
ZPE-GSR-48-BASE,0.9,35,37,18
ZPE-GSR-48-5G,0.9,35,37,18
ZPE-GSR-48-4G-W5-D128G,0.9,35,37,18
ZPE-BSR-48-D128G,1.2,14,20,4
ZPE-BSR-48-BASE,1.2,14,20,4
ZPE-BSR-48-4G-W5-D128G,1.2,14,20,4
ZPE-BSR-48-4G,1.2,14,20,4
ZPE-BSR-24-W5,1.2,14,20,4
ZPE-BSR-24-D128G,1.2,14,20,4
ZPE-BSR-24-4G-W5,1.2,14,20,4
ZPE-BSR-24-4G,1.2,14,20,4
ZP4000GM3A063,0.0092,,2.21,0.358
ZP2000GP3A2001,0.109,,10.9,2.4
ZP1000GM3A073,0.12,,10.9,15.5
ZP1000GM3A063,0.07,,15.5,2.4
ZP1000GM3A004,0.097,14,29.2,15.3
ZHT611X,,1.8,59.8,12.9
ZHC62352X,,1.32,60,102
ZG38C05461,0.35,,18.8,25.85
ZG38C05252,0.34,,19.8,30
ZG38C05190,0.014,,0.913,0.913
ZG38C03903,0.246,,18.3,25.9
ZEW-00003,0.895,,28.7,0.93
ZDT-00022,0.879,,28.7,0.93
ZD6AH43-30EL02EZ,2.5,0.991,20.2,19.2
ZD6A143-31EF00EZ,2.5,0.991,20.2,19.2
ZD6A143-30EL02EZ,2.5,0.991,20.2,19.2
ZD6A042-D0EL02EZ,1.6,0.991,17.7,15.1
ZD6A042-32EF00EZ,2.5,0.991,20.2,19.2
ZD4AH42-D0EW02EZ,1.35,0.991,17.75,15.069999999999999
ZD4A043-30EM00EZ,,0.991,20.2,
ZD4A022-T0EM00EZ,1.63,0.991,13.87,16.919999999999998
ZD4A022-D0EW02EZ,1,74,11.5,15.1
ZD22042-T1EG00EZ,1.1,0.991,19.7,19.1
ZC36-000C000EM00,4.4,,15.7,25.8
ZC32-000CQ00EM00,4.4,,15.7,25.8
ZC11-0000Q00EM00,3.9,,15.7,25.8
ZC10L-00QT0US00,21,,27.8,29
ZAEL0027GB,0.425,,23.57,0.75
